iter	Passed	Remaining
0	44	44354
1	96	48114
2	145	48466
3	197	49221
4	258	51412
5	314	52053
6	378	53653
7	428	53080
8	479	52746
9	535	52991
10	644	57953
11	735	60582
12	809	61479
13	862	60716
14	935	61403
15	987	60717
16	1044	60406
17	1093	59630
18	1156	59694
19	1215	59581
20	1262	58867
21	1329	59092
22	1378	58546
23	1433	58277
24	1477	57627
25	1517	56851
26	1556	56100
27	1612	55980
28	1682	56328
29	1743	56366
30	1802	56343
31	1846	55870
32	1895	55551
33	1937	55037
34	1985	54742
35	2038	54576
36	2092	54450
37	2162	54732
38	2247	55387
39	2323	55775
40	2415	56509
41	2506	57164
42	2574	57292
43	2634	57240
44	2725	57845
45	2807	58221
46	2900	58816
47	2987	59242
48	3053	59257
49	3143	59727
50	3223	59990
51	3298	60130
52	3353	59911
53	3413	59792
54	3498	60103
55	3555	59936
56	3618	59865
57	3688	59912
58	3734	59564
59	3786	59321
60	3863	59474
61	3933	59516
62	4004	59559
63	4071	59543
64	4127	59377
65	4198	59411
66	4268	59445
67	4337	59450
68	4408	59484
69	4461	59280
70	4514	59072
71	4572	58928
72	4635	58859
73	4700	58817
74	4765	58769
75	4809	58469
76	4859	58253
77	4897	57892
78	4942	57625
79	5017	57698
80	5073	57563
81	5128	57414
82	5183	57268
83	5222	56952
84	5266	56695
85	5344	56798
86	5395	56624
87	5459	56577
88	5523	56542
89	5580	56423
90	5644	56383
91	5705	56311
92	5762	56200
93	5811	56017
94	5876	55982
95	5931	55855
96	5972	55596
97	6033	55529
98	6113	55639
99	6232	56096
100	6316	56222
101	6382	56194
102	6443	56111
103	6528	56248
104	6622	56449
105	6683	56369
106	6725	56128
107	6787	56057
108	6877	56222
109	6961	56327
110	7027	56284
111	7090	56214
112	7146	56093
113	7241	56277
114	7328	56398
115	7424	56576
116	7496	56577
117	7579	56656
118	7650	56637
119	7716	56586
120	7793	56617
121	7877	56694
122	7969	56821
123	8102	57237
124	8192	57344
125	8270	57369
126	8350	57403
127	8417	57341
128	8486	57301
129	8572	57370
130	8633	57273
131	8714	57305
132	8799	57361
133	8887	57436
134	8953	57367
135	9009	57237
136	9086	57238
137	9179	57340
138	9263	57382
139	9346	57416
140	9419	57385
141	9489	57337
142	9563	57316
143	9630	57247
144	9700	57199
145	9766	57125
146	9854	57183
147	9941	57228
148	10029	57280
149	10095	57209
150	10185	57268
151	10262	57255
152	10337	57228
153	10416	57220
154	10474	57102
155	10533	56991
156	10603	56932
157	10668	56855
158	10742	56820
159	10811	56761
160	10877	56685
161	10925	56515
162	10992	56448
163	11059	56378
164	11151	56433
165	11228	56412
166	11312	56425
167	11393	56427
168	11466	56381
169	11549	56386
170	11620	56337
171	11691	56280
172	11765	56242
173	11848	56248
174	11923	56212
175	11988	56129
176	12042	55992
177	12120	55972
178	12198	55950
179	12279	55939
180	12341	55841
181	12390	55690
182	12445	55560
183	12521	55530
184	12602	55519
185	12691	55541
186	12774	55538
187	12869	55584
188	12967	55643
189	13062	55688
190	13128	55606
191	13197	55540
192	13272	55497
193	13345	55444
194	13413	55373
195	13469	55251
196	13527	55141
197	13595	55068
198	13689	55102
199	13754	55017
200	13821	54942
201	13884	54852
202	13942	54741
203	14020	54709
204	14097	54670
205	14195	54713
206	14309	54816
207	14401	54836
208	14468	54759
209	14547	54725
210	14604	54610
211	14668	54524
212	14736	54448
213	14813	54408
214	14897	54393
215	14967	54325
216	15034	54248
217	15103	54177
218	15182	54143
219	15246	54055
220	15306	53952
221	15348	53789
222	15399	53657
223	15472	53601
224	15549	53557
225	15612	53469
226	15679	53393
227	15728	53254
228	15789	53158
229	15855	53081
230	15930	53031
231	15996	52953
232	16059	52863
233	16120	52769
234	16202	52742
235	16279	52702
236	16345	52622
237	16416	52561
238	16486	52494
239	16552	52415
240	16616	52331
241	16683	52255
242	16745	52166
243	16823	52125
244	16885	52035
245	16957	51974
246	17033	51928
247	17106	51870
248	17168	51781
249	17212	51636
250	17294	51607
251	17390	51618
252	17474	51593
253	17528	51482
254	17582	51369
255	17648	51291
256	17730	51260
257	17842	51315
258	17923	51279
259	17990	51204
260	18081	51196
261	18173	51191
262	18244	51125
263	18308	51040
264	18362	50930
265	18406	50791
266	18480	50734
267	18545	50654
268	18609	50571
269	18667	50471
270	18718	50353
271	18777	50256
272	18855	50213
273	18911	50108
274	18973	50021
275	19028	49915
276	19075	49790
277	19129	49681
278	19193	49601
279	19277	49570
280	19341	49490
281	19410	49420
282	19463	49312
283	19514	49199
284	19586	49138
285	19658	49077
286	19718	48986
287	19767	48868
288	19819	48759
289	19869	48647
290	19921	48537
291	19991	48473
292	20057	48399
293	20131	48342
294	20190	48251
295	20246	48153
296	20303	48057
297	20358	47958
298	20419	47872
299	20473	47771
300	20556	47738
301	20611	47638
302	20687	47588
303	20752	47511
304	20851	47514
305	20957	47530
306	21036	47486
307	21140	47497
308	21262	47549
309	21359	47543
310	21440	47500
311	21534	47486
312	21621	47456
313	21681	47368
314	21736	47268
315	21807	47204
316	21867	47115
317	21932	47038
318	21984	46932
319	22034	46823
320	22078	46701
321	22122	46581
322	22182	46493
323	22249	46421
324	22316	46349
325	22368	46245
326	22419	46142
327	22461	46019
328	22508	45905
329	22563	45811
330	22624	45727
331	22678	45629
332	22735	45539
333	22793	45451
334	22844	45348
335	22925	45305
336	23009	45267
337	23074	45194
338	23132	45104
339	23185	45007
340	23256	44944
341	23327	44880
342	23396	44814
343	23469	44756
344	23523	44661
345	23568	44548
346	23614	44439
347	23673	44354
348	23729	44263
349	23802	44205
350	23865	44127
351	23919	44032
352	23992	43974
353	24060	43907
354	24126	43835
355	24187	43754
356	24252	43681
357	24315	43605
358	24375	43522
359	24439	43447
360	24507	43379
361	24576	43313
362	24645	43249
363	24693	43145
364	24743	43046
365	24828	43009
366	24890	42931
367	24952	42852
368	25006	42762
369	25062	42673
370	25103	42561
371	25154	42465
372	25208	42374
373	25278	42311
374	25335	42225
375	25387	42132
376	25438	42037
377	25486	41937
378	25538	41844
379	25595	41760
380	25653	41678
381	25707	41590
382	25751	41484
383	25805	41396
384	25851	41295
385	25895	41191
386	25948	41101
387	26003	41015
388	26054	40922
389	26107	40835
390	26160	40745
391	26202	40640
392	26254	40550
393	26306	40461
394	26367	40386
395	26433	40317
396	26486	40230
397	26541	40145
398	26583	40041
399	26631	39947
400	26683	39858
401	26740	39778
402	26804	39707
403	26867	39636
404	26926	39559
405	26976	39468
406	27021	39370
407	27071	39279
408	27116	39182
409	27170	39099
410	27235	39030
411	27295	38955
412	27344	38865
413	27390	38769
414	27433	38671
415	27484	38584
416	27545	38510
417	27608	38440
418	27664	38360
419	27728	38291
420	27802	38237
421	27868	38170
422	27947	38121
423	28033	38083
424	28095	38011
425	28167	37953
426	28251	37911
427	28319	37847
428	28391	37788
429	28445	37707
430	28497	37622
431	28562	37554
432	28631	37492
433	28691	37418
434	28741	37331
435	28805	37262
436	28854	37174
437	28908	37092
438	28979	37033
439	29046	36968
440	29112	36901
441	29180	36838
442	29257	36786
443	29324	36721
444	29404	36673
445	29462	36596
446	29531	36535
447	29573	36438
448	29616	36343
449	29668	36262
450	29723	36181
451	29787	36114
452	29842	36035
453	29905	35965
454	29951	35875
455	29991	35779
456	30041	35694
457	30090	35609
458	30141	35525
459	30191	35442
460	30245	35363
461	30289	35271
462	30333	35181
463	30373	35086
464	30421	35001
465	30473	34920
466	30530	34845
467	30588	34771
468	30642	34693
469	30688	34606
470	30737	34522
471	30805	34460
472	30855	34377
473	30908	34298
474	30970	34230
475	31020	34149
476	31062	34058
477	31102	33965
478	31154	33885
479	31216	33818
480	31286	33758
481	31342	33683
482	31397	33607
483	31446	33525
484	31491	33438
485	31541	33358
486	31615	33303
487	31670	33228
488	31722	33149
489	31777	33074
490	31831	32998
491	31876	32912
492	31916	32822
493	31966	32743
494	32017	32664
495	32067	32584
496	32117	32504
497	32160	32419
498	32197	32326
499	32251	32251
500	32314	32185
501	32368	32110
502	32420	32034
503	32478	31962
504	32527	31882
505	32577	31804
506	32632	31731
507	32712	31681
508	32809	31649
509	32888	31598
510	32970	31551
511	33040	31491
512	33100	31422
513	33148	31343
514	33229	31293
515	33286	31222
516	33350	31157
517	33414	31092
518	33501	31048
519	33562	30980
520	33626	30915
521	33674	30836
522	33727	30760
523	33808	30711
524	33863	30638
525	33927	30573
526	33995	30512
527	34041	30430
528	34089	30351
529	34145	30279
530	34207	30213
531	34277	30154
532	34345	30093
533	34411	30029
534	34463	29953
535	34515	29878
536	34586	29820
537	34651	29756
538	34732	29706
539	34815	29657
540	34866	29581
541	34939	29524
542	34998	29455
543	35062	29390
544	35125	29325
545	35176	29249
546	35254	29196
547	35342	29151
548	35413	29091
549	35481	29029
550	35550	28969
551	35605	28897
552	35689	28848
553	35766	28793
554	35852	28746
555	35916	28681
556	35979	28615
557	36059	28563
558	36120	28495
559	36187	28433
560	36263	28377
561	36306	28295
562	36352	28216
563	36402	28141
564	36470	28078
565	36542	28020
566	36607	27955
567	36655	27878
568	36701	27800
569	36764	27734
570	36825	27667
571	36870	27588
572	36922	27514
573	36982	27447
574	37032	27371
575	37077	27293
576	37122	27214
577	37189	27152
578	37264	27095
579	37323	27027
580	37378	26956
581	37422	26877
582	37466	26798
583	37545	26744
584	37618	26686
585	37696	26631
586	37763	26569
587	37834	26509
588	37887	26437
589	37968	26384
590	38039	26325
591	38101	26259
592	38170	26197
593	38250	26144
594	38323	26085
595	38411	26037
596	38485	25979
597	38544	25911
598	38596	25838
599	38649	25766
600	38718	25704
601	38801	25652
602	38887	25602
603	38945	25533
604	39002	25464
605	39066	25399
606	39132	25336
607	39212	25281
608	39273	25214
609	39321	25140
610	39373	25067
611	39444	25007
612	39543	24964
613	39616	24905
614	39672	24835
615	39732	24768
616	39822	24719
617	39895	24660
618	39964	24598
619	40015	24525
620	40062	24450
621	40127	24386
622	40184	24317
623	40247	24251
624	40323	24194
625	40385	24128
626	40431	24052
627	40477	23976
628	40531	23906
629	40596	23842
630	40675	23786
631	40723	23712
632	40790	23649
633	40838	23575
634	40891	23504
635	40959	23442
636	41025	23378
637	41085	23311
638	41142	23243
639	41208	23179
640	41287	23123
641	41350	23058
642	41411	22992
643	41472	22926
644	41517	22850
645	41564	22776
646	41616	22705
647	41672	22636
648	41734	22571
649	41823	22520
650	41885	22454
651	41934	22381
652	41986	22311
653	42050	22246
654	42108	22179
655	42174	22115
656	42235	22050
657	42282	21976
658	42327	21902
659	42372	21828
660	42441	21766
661	42498	21698
662	42556	21631
663	42606	21560
664	42651	21486
665	42707	21417
666	42787	21361
667	42845	21294
668	42914	21232
669	42976	21167
670	43027	21096
671	43069	21022
672	43119	20951
673	43197	20893
674	43267	20832
675	43335	20770
676	43390	20701
677	43437	20629
678	43490	20560
679	43565	20501
680	43649	20446
681	43706	20379
682	43768	20314
683	43820	20244
684	43866	20172
685	43919	20103
686	43976	20036
687	44032	19968
688	44101	19906
689	44149	19835
690	44198	19764
691	44263	19701
692	44329	19637
693	44388	19571
694	44444	19504
695	44493	19433
696	44528	19357
697	44567	19282
698	44614	19211
699	44671	19144
700	44718	19073
701	44789	19013
702	44841	18944
703	44879	18869
704	44921	18796
705	44958	18722
706	45008	18652
707	45056	18582
708	45106	18513
709	45148	18441
710	45205	18374
711	45246	18302
